ClassName,isAbstract,DataTypes
"TimeZoneRegistryFactory,1,""TimeZoneRegistry,TimeZoneRegistryFactory"""
"PropertyFactoryImpl,0,""PropertyFactoryImpl"""
"DateTimeFormat,0,""?"""
"Calendar,0,""AbstractComponent,PropertyValidator,ComponentValidator"""
"TimeZone,0,""VTimeZone"""
"Validator,1,""?"""
"Dur,0,""Date"""
"Daylight,0,""?"""
"VJournal,0,""CalendarComponentValidator"""
"CounterValidator,0,""?"""
"Available,0,""?"""
"VFreeBusy,0,""Period,CalendarComponentValidator"""
"ProcedureValidator,0,""?"""
"ITIPValidator,0,""?"""
"VFreeBusyTimeBuilder,1,""DateTime,DateTime,DateTime,VFreeBusy,Dur,Dur"""
"Standard,0,""?"""
"CalendarComponent,1,""CalendarComponentValidator,EmptyValidator"""
"VAlarm,0,""ITIPValidator,CalendarComponentValidator"""
"PublishValidator,0,""?"""
"VEvent,0,""CalendarComponentValidator"""
"AudioValidator,0,""?"""
"VAvailability,0,""?"""
"ReplyValidator,0,""?"""
"FreeTimeBuilder,0,""?"""
"VTimeZone,0,""ITIPValidator"""
"CancelValidator,0,""?"""
"EmailValidator,0,""?"""
"DeclineCounterValidator,0,""?"""
"EmptyValidator,0,""?"""
"Observance,1,""DateTime,Date,Date,Date,DateTime,TzOffsetFrom"""
"RequestValidator,0,""?"""
"AddValidator,0,""?"""
"BusyTimeBuilder,0,""?"""
"VToDo,0,""CalendarComponentValidator"""
"RefreshValidator,0,""?"""
"CalendarComponentValidator,1,""CalendarComponent"""
"XComponent,0,""?"""
"DisplayValidator,0,""?"""
"VVenue,0,""?"""
"TextList,0,""?"""
"DelegatedFrom,0,""AddressList,AddressList"""
"PartStat,0,""PartStat,PartStat,PartStat,PartStat,PartStat,PartStat,PartStat"""
"Value,0,""Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value,Value"""
"TzId,0,""?"""
"ScheduleStatus,0,""?"""
"Type,0,""?"""
"FmtType,0,""?"""
"Role,0,""Role,Role,Role,Role"""
"Rsvp,0,""Rsvp,Rsvp"""
"Cn,0,""?"""
"Language,0,""?"""
"Abbrev,0,""?"""
"RelType,0,""RelType,RelType,RelType"""
"DelegatedTo,0,""AddressList,AddressList"""
"Vvenue,0,""?"""
"Encoding,0,""Encoding,Encoding,Encoding,Encoding,Encoding"""
"SentBy,0,""?"""
"CuType,0,""CuType,CuType,CuType,CuType,CuType"""
"Related,0,""Related,Related"""
"AltRep,0,""?"""
"FbType,0,""FbType,FbType,FbType,FbType"""
"Dir,0,""?"""
"ScheduleAgent,0,""ScheduleAgent,ScheduleAgent,ScheduleAgent"""
"Range,0,""Range,Range"""
"XParameter,0,""?"""
"Member,0,""AddressList,AddressList"""
"AbstractComponent,1,""Calendar,ComponentFactory,Validator,Property"""
"DateTime,0,""TimeZone,Time"""
"ParameterFactoryRegistry,0,""?"""
"AbstractContentFactory,1,""AbstractContentFactory,AbstractContentFactory,Content,AbstractContentFactory,AbstractContentFactory"""
"PercentComplete,0,""?"""
"StreetAddress,0,""?"""
"Organizer,0,""?"""
"DateProperty,1,""TimeZone,Date,Date"""
"Comment,0,""?"""
"ExRule,0,""?"""
"ImmutableTransp,0,""Transp"""
"Description,0,""?"""
"Categories,0,""TextList,TextList"""
"TzId,0,""?"""
"Version,0,""ImmutableVersion,ImmutableVersion"""
"FreeBusy,0,""?"""
"Repeat,0,""?"""
"Attendee,0,""?"""
"Country,0,""?"""
"DtStamp,0,""?"""
"DtEnd,0,""?"""
"Attach,0,""?"""
"CalScale,0,""ImmutableCalScale,ImmutableCalScale"""
"Method,0,""ImmutableMethod,ImmutableMethod,ImmutableMethod,ImmutableMethod,ImmutableMethod,ImmutableMethod,ImmutableMethod,ImmutableMethod,ImmutableMethod"""
"RRule,0,""?"""
"LocationType,0,""LocationType,LocationType,LocationType"""
"UtcProperty,1,""?"""
"TzUrl,0,""?"""
"Sequence,0,""?"""
"Clazz,0,""ImmutableClazz,ImmutableClazz,ImmutableClazz"""
"Url,0,""?"""
"ImmutableBusyType,0,""BusyType"""
"Location,0,""?"""
"ImmutableStatus,0,""Status"""
"TzOffsetFrom,0,""?"""
"Locality,0,""?"""
"ImmutableMethod,0,""Method"""
"Geo,0,""?"""
"Name,0,""?"""
"Status,0,""ImmutableStatus,ImmutableStatus,ImmutableStatus,ImmutableStatus,ImmutableStatus,ImmutableStatus,ImmutableStatus,ImmutableStatus,ImmutableStatus,ImmutableStatus,ImmutableStatus"""
"ExDate,0,""?"""
"RequestStatus,0,""?"""
"ImmutablePriority,0,""?"""
"TzName,0,""?"""
"Uid,0,""?"""
"ImmutableCalScale,0,""CalScale"""
"Due,0,""?"""
"Postalcode,0,""?"""
"Contact,0,""?"""
"ImmutableVersion,0,""Version"""
"RelatedTo,0,""?"""
"Created,0,""?"""
"ExtendedAddress,0,""?"""
"Trigger,0,""Dur,Dur"""
"Duration,0,""Dur,Dur"""
"TzOffsetTo,0,""?"""
"Region,0,""?"""
"DtStart,0,""?"""
"DateListProperty,1,""TimeZone,TimeZone"""
"Summary,0,""?"""
"ImmutableClazz,0,""?"""
"RDate,0,""Period"""
"BusyType,0,""ImmutableBusyType,ImmutableBusyType,ImmutableBusyType,ImmutableBusyType"""
"Priority,0,""ImmutablePriority,ImmutablePriority,ImmutablePriority,ImmutablePriority"""
"Tel,0,""?"""
"Completed,0,""?"""
"LastModified,0,""?"""
"ProdId,0,""?"""
"XProperty,0,""?"""
"Resources,0,""TextList,TextList"""
"Action,0,""ImmutableAction,ImmutableAction,ImmutableAction,ImmutableAction,ImmutableAction"""
"ImmutableAction,0,""Action"""
"RecurrenceId,0,""?"""
"Transp,0,""ImmutableTransp,Transp,Transp"""
"TimeZoneRegistry,0,""TimeZone,TimeZone,TimeZoneRegistryFactory"""
"Content,1,""AbstractContentFactory"""
"ParameterFactory,1,""?"""
"PropertyFactory,1,""?"""
"TimeFormat,0,""?"""
"ParameterFactoryImpl,0,""ParameterFactoryImpl"""
"ComponentFactory,0,""ComponentFactory,AbstractComponent"""
"Time,0,""TimeZone"""
"DateRange,0,""Date,Date,Date"""
"Iso8601,1,""CalendarDateFormat"""
"Period,0,""Dur"""
"DefaultTimeZoneRegistryFactory,0,""?"""
"PropertyFactoryRegistry,0,""?"""
"AddressList,0,""?"""
"Property,1,""Parameter,AbstractComponent,ParameterValidator"""
"CalendarDateFormat,1,""?"""
"Parameter,1,""ParameterFactory,Property"""
"DateFormat,0,""?"""
"Date,0,""DateRange"""
"CalendarDateFormatFactory,0,""CalendarDateFormat"""
"PublishTransformer,0,""?"""
"Transformer,1,""Calendar"""
"CalendarParserFactory,1,""CalendarParserFactory,AbstractCalendarParser"""
"HCalendarParser,0,""?"""
"ParameterListParser,0,""?"""
"ContentHandler,0,""ComponentFactory,CalendarBuilder,ParameterFactory,PropertyFactory"""
"PropertyListParser,0,""?"""
"CalendarBuilder,0,""Calendar,AbstractCalendarParser,AbstractContentFactory,TimeZone,AbstractComponent,TimeZoneRegistry,AbstractComponent,TimeZoneRegistry,ContentHandler,Calendar,Property,AbstractContentHandler"""
"AbstractCalendarParser,1,""AbstractContentHandler"""
"HCalendarParserFactory,0,""?"""
"AbstractOutputter,1,""?"""
"CalendarInternalParser,1,""CalendarParser"""
"PropertyParser,0,""?"""
"CalendarOutputter,0,""?"""
"ComponentParser,0,""?"""
"DefaultCalendarParserFactory,0,""?"""
"ComponentListParser,0,""?"""
"CalendarParser,0,""CalendarInternalParser,ComponentParser,PropertyParser,ParameterParser,ParameterListParser,ComponentListParser,PropertyListParser"""
"ParameterParser,0,""?"""
